#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1682368904,989397,4987164,140.30.20.1,13,1570,4968932,4971548,0,0,152.148.48.4,140.30.20.8,0.0.0.0,334,334,42790,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4968932,4971548,0,0,140.30.20.8,152.148.48.4,140.30.20.2,334,334,22,42790,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,13,1570,4970148,4971992,0,0,152.148.48.5,140.30.20.6,0.0.0.0,334,334,60740,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4970148,4971992,0,0,140.30.20.6,152.148.48.5,140.30.20.2,334,334,22,60740,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,13,1570,4970148,4972000,0,0,152.148.48.5,140.30.20.6,0.0.0.0,334,334,60718,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4970148,4972000,0,0,140.30.20.6,152.148.48.5,140.30.20.2,334,334,22,60718,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,13,1570,4970148,4971992,0,0,152.148.48.5,140.30.20.6,0.0.0.0,334,334,60716,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4970148,4971992,0,0,140.30.20.6,152.148.48.5,140.30.20.2,334,334,22,60716,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,13,1570,4970244,4972100,0,0,152.148.48.6,140.30.20.5,0.0.0.0,334,334,49636,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,13,1570,4970028,4972064,0,0,152.148.48.6,140.30.20.7,0.0.0.0,334,334,44298,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4970244,4972112,0,0,140.30.20.5,152.148.48.6,140.30.20.2,334,334,22,49614,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,13,1570,4970244,4972112,0,0,152.148.48.6,140.30.20.5,0.0.0.0,334,334,49614,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4970028,4972076,0,0,140.30.20.7,152.148.48.6,140.30.20.2,334,334,22,44290,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,13,1570,4970244,4972112,0,0,152.148.48.6,140.30.20.5,0.0.0.0,334,334,49610,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,13,1570,4970028,4972060,0,0,152.148.48.6,140.30.20.7,0.0.0.0,334,334,44276,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4970244,4972112,0,0,140.30.20.5,152.148.48.6,140.30.20.2,334,334,22,49610,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,13,1570,4970028,4972076,0,0,152.148.48.6,140.30.20.7,0.0.0.0,334,334,44290,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4970028,4972060,0,0,140.30.20.7,152.148.48.6,140.30.20.2,334,334,22,44276,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4970028,4972064,0,0,140.30.20.7,152.148.48.6,140.30.20.2,334,334,22,44298,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4970244,4972100,0,0,140.30.20.5,152.148.48.6,140.30.20.2,334,334,22,49636,6,0,27,0,0,0,0
1682368909,773518,4991948,140.30.20.1,14,2289,4970320,4972176,0,0,140.30.20.5,152.148.48.6,140.30.20.2,334,334,22,49644,6,0,27,0,0,0,0
1682368909,773518,4991948,140.30.20.1,14,2289,4970320,4972192,0,0,140.30.20.5,152.148.48.6,140.30.20.2,334,334,22,49656,6,0,27,0,0,0,0
1682368909,773518,4991948,140.30.20.1,13,1570,4970320,4972192,0,0,152.148.48.6,140.30.20.5,0.0.0.0,334,334,49656,22,6,0,27,0,0,0,0
1682368909,773518,4991948,140.30.20.1,3,180,4969228,4972256,0,0,152.148.48.5,140.30.20.11,0.0.0.0,334,334,34148,22,6,0,2,0,0,0,0
1682368909,773518,4991948,140.30.20.1,13,1570,4970320,4972176,0,0,152.148.48.6,140.30.20.5,0.0.0.0,334,334,49644,22,6,0,27,0,0,0,0
1682368909,773518,4991948,140.30.20.1,13,1570,4970320,4972192,0,0,152.148.48.6,140.30.20.5,0.0.0.0,334,334,49662,22,6,0,27,0,0,0,0
1682368909,773518,4991948,140.30.20.1,14,2289,4970320,4972192,0,0,140.30.20.5,152.148.48.6,140.30.20.2,334,334,22,49662,6,0,27,0,0,0,0
1682368909,773518,4991948,140.30.20.1,3,180,4969492,4972288,0,0,152.148.48.4,140.30.20.11,0.0.0.0,334,334,60836,22,6,0,2,0,0,0,0
1682368909,773518,4991948,140.30.20.1,3,180,4969500,4972288,0,0,152.148.48.5,140.30.20.11,0.0.0.0,334,334,34160,22,6,0,2,0,0,0,0
1682368909,773518,4991948,140.30.20.1,13,1538,4974172,4974284,0,0,152.148.48.4,140.30.20.6,0.0.0.0,334,334,44728,22,6,0,27,0,0,0,0
1682368909,773518,4991948,140.30.20.1,12,2105,4974172,4974284,0,0,140.30.20.6,152.148.48.4,140.30.20.2,334,334,22,44728,6,0,27,0,0,0,0
1682368909,773518,4991948,140.30.20.1,13,1570,4974508,4974688,0,0,152.148.48.4,140.30.20.6,0.0.0.0,334,334,44738,22,6,0,27,0,0,0,0
1682368909,773518,4991948,140.30.20.1,13,2205,4974508,4974688,0,0,140.30.20.6,152.148.48.4,140.30.20.2,334,334,22,44738,6,0,27,0,0,0,0
